TS time deltat Energy E1 E2 Dissipation Trd volume area area_n E3 Lat_area Epress E_tension1 E_tension2 E_tension3 pressure Zmax stress strain totBonds
125 0.00248725 3.51237e-05 0.133368 0.0588589 0.04444 0.000755009 0.856073 0.0276202 0.856073 0.81594 0.0300687 0.598006 -1.29921 4.0797 4.0797 2.98904 -48.6726 1 0 0 0.81594
130 0.00266645 3.69339e-05 0.15169 0.0667201 0.0505641 0.000711372 0.85912 0.0287251 0.85912 0.81594 0.0344062 0.597005 -1.40704 4.0797 4.0797 2.98401 -50.7563 1 0 0 0.81594
135 0.00285489 3.88373e-05 0.171721 0.0753199 0.0572853 0.000670357 0.862254 0.0298299 0.862254 0.81594 0.0391157 0.595984 -1.52136 4.0797 4.0797 2.97889 -52.9218 1 0 0 0.81594
140 0.00305304 4.08388e-05 0.193531 0.084693 0.0646344 0.000631787 0.865471 0.0309347 0.865471 0.81594 0.0442037 0.594946 -1.64231 4.0797 4.0797 2.97368 -55.1661 1 0 0 0.81594
145 0.0032614 4.29434e-05 0.217191 0.0948737 0.0726418 0.000595502 0.868769 0.0320395 0.868769 0.81594 0.0496754 0.593891 -1.76999 4.0797 4.0797 2.96839 -57.4858 1 0 0 0.81594
150 0.0034805 4.51566e-05 0.242769 0.105896 0.0813382 0.000561353 0.872146 0.0331443 0.872146 0.81594 0.0555347 0.592821 -1.90452 4.0797 4.0797 2.96303 -59.8776 1 0 0 0.81594
155 0.00371089 4.74837e-05 0.270329 0.117792 0.0907536 0.000529205 0.875598 0.0342491 0.875598 0.81594 0.061784 0.591738 -2.046 4.0797 4.0797 2.9576 -62.3384 1 0 0 0.81594
160 0.00395315 4.99308e-05 0.299936 0.130594 0.100918 0.000498931 0.879125 0.0353539 0.879125 0.81594 0.0684242 0.590643 -2.19449 4.0797 4.0797 2.95211 -64.8649 1 0 0 0.81594
165 0.0042079 5.25041e-05 0.33165 0.144333 0.111861 0.000470417 0.882723 0.0364587 0.882723 0.81594 0.0754553 0.589536 -2.35006 4.0797 4.0797 2.94657 -67.4539 1 0 0 0.81594
170 0.00447578 5.52099e-05 0.365527 0.15904 0.123611 0.000443556 0.88639 0.0375635 0.88639 0.81594 0.0828757 0.58842 -2.51277 4.0797 4.0797 2.94098 -70.1022 1 0 0 0.81594
175 0.00475746 5.80552e-05 0.401624 0.174744 0.136198 0.000418247 0.890124 0.0386683 0.890124 0.81594 0.0906828 0.587295 -2.68266 4.0797 4.0797 2.93535 -72.8067 1 0 0 0.81594
180 0.00505366 6.10471e-05 0.439992 0.191471 0.149647 0.000394398 0.893923 0.0397732 0.893923 0.81594 0.098873 0.586163 -2.85975 4.0797 4.0797 2.92968 -75.5643 1 0 0 0.81594
185 0.00536513 6.41932e-05 0.48068 0.20925 0.163988 0.000371923 0.897785 0.040878 0.897785 0.81594 0.107441 0.585024 -3.04405 4.0797 4.0797 2.92398 -78.372 1 0 0 0.81594
190 0.00569264 6.75014e-05 0.523734 0.228106 0.179246 0.000350741 0.901707 0.0419828 0.901707 0.81594 0.116382 0.58388 -3.23558 4.0797 4.0797 2.91825 -81.2267 1 0 0 0.81594
195 0.00603704 7.09802e-05 0.569198 0.248062 0.195446 0.000330776 0.905687 0.0430876 0.905687 0.81594 0.12569 0.582731 -3.43433 4.0797 4.0797 2.9125 -84.1255 1 0 0 0.81594
200 0.00639918 7.46382e-05 0.61711 0.269142 0.212613 0.000311957 0.909724 0.0441924 0.909724 0.81594 0.135355 0.581579 -3.64029 4.0797 4.0797 2.90674 -87.0656 1 0 0 0.81594
205 0.00677999 7.84847e-05 0.667507 0.291366 0.23077 0.000294217 0.913816 0.0452972 0.913816 0.81594 0.145371 0.580424 -3.85342 4.0797 4.0797 2.90096 -90.0441 1 0 0 0.81594
210 0.00718042 8.25295e-05 0.720422 0.314754 0.249939 0.000277495 0.91796 0.046402 0.91796 0.81594 0.155729 0.579267 -4.07369 4.0797 4.0797 2.89518 -93.0583 1 0 0 0.81594
215 0.00760149 8.67827e-05 0.775885 0.339324 0.270141 0.000261731 0.922155 0.0475068 0.922155 0.81594 0.166419 0.578109 -4.30107 4.0797 4.0797 2.88938 -96.1054 1 0 0 0.81594
